Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,Daily_Return,Volatility,RSI,MACD,Signal_Line,BB_Middle,BB_Upper,BB_Lower,Signal
2020-01-02,72.33387756347656,72.39408555090253,71.0911838210517,71.34405442839761,135480400,,,72.33387756347656,72.33387756347656,,,,0.0,0.0,,,,0
2020-01-03,71.63063049316406,72.3892495107853,71.40665858931894,71.56319785492231,146322800,,,72.26690165201822,72.30629924699372,-0.009722236578501797,,,-0.05609948139245091,-0.011219896278490182,,,,0
2020-01-06,72.20142364501953,72.23995764322866,70.5035611498287,70.75402846338375,118387200,,,72.26066565135169,72.30218647828885,0.007968562442151716,,,-0.0538793993565605,-0.019751796894104248,,,,0
2020-01-07,71.86184692382812,72.46633010238772,71.64268897397623,72.21104883104543,108872000,,,72.22268291539706,72.28491826046685,-0.004703185949088029,,,-0.07861474988666828,-0.03152438749261705,,,,0
2020-01-08,73.01785278320312,73.31889277543256,71.56563615467269,71.56563615467269,132079200,,,72.29841337899764,72.31366079077024,0.016086503601839608,,,-0.004881411806124447,-0.02619579235531853,,,,0
2020-01-09,74.56878662109375,74.76144921222713,73.7427349209394,73.99319481949146,170108400,,,72.51463940205441,72.40209709784175,0.021240474469928605,,,0.1766637194768208,0.01437611001110934,,,,0
2020-01-10,74.73736572265625,75.30091887725054,74.23643856809193,74.80239504412852,140644800,,,72.72632762306411,72.49367625959917,0.0022607193867736353,,,0.3303345772222599,0.07756780345333945,,,,0
2020-01-13,76.33409118652344,76.36058652225458,74.93485817482635,75.05287082554342,121532000,,,73.06992415291738,72.64428076653738,0.021364486805602656,,,0.5743415873629658,0.17692256023526473,,,,0
2020-01-14,75.3033218383789,76.48099343710987,75.18050255877637,76.27147084582813,161954400,,,73.2826286943899,72.74855688700175,-0.013503394513806888,,,0.6767433528649462,0.276886718761201,,,,0
2020-01-15,74.98059844970703,75.98245997667709,74.54950731619692,75.10342506334987,121923600,,,73.44434009965819,72.83608792867648,-0.004285646114849051,,,0.7235161654540576,0.3662126080997724,,,,0
2020-01-16,75.91985321044922,76.03064118697364,75.16123412136378,75.52248200660513,108829200,,,73.68010325306686,72.9570199005107,0.012526637292341603,,,0.8268426386761973,0.4583386142150574,,,,0
2020-01-17,76.7603530883789,76.76275640961391,75.86204746774389,76.16790133072386,137816400,,,73.97346038023944,73.10617022160358,0.011070883864854553,,,0.9654221434152532,0.5597553200550967,,,,0
2020-01-21,76.24016571044922,76.83019952815127,76.10288974668396,76.3894803308505,110843200,,,74.18933707835467,73.22907200547988,-0.006776771562407524,,,1.0214974387074136,0.6521037437855601,,,,0
2020-01-22,76.5123062133789,77.06380603496487,76.4183782339569,76.72423213565071,101832400,,,74.41057223407125,73.35782628814259,0.00356951615193557,,70.86827732261155,1.0754992920764863,0.7367828534437455,,,,0
2020-01-23,76.88079071044922,76.96026202494508,76.01860816134078,76.56530142477,104472000,,,74.64583113658344,73.49598175568403,0.004816016080376295,,71.9024459084304,1.1349468089601373,0.8164156445470239,,,,0
2020-01-24,76.65921783447266,77.86819158420508,76.46895853504518,77.1264324079885,146537600,,,74.83758225066812,73.62003022936202,-0.0028820317003639406,,75.40140421140094,1.150913302919733,0.8833151762215656,,,,0
2020-01-27,74.40505981445312,75.08420056435821,73.42487167255777,74.67237984427346,161940000,,,74.79638963769527,73.65081570328717,-0.02940491807373835,,59.51351262330989,0.9704879697763289,0.9007497349325184,,,,0
2020-01-28,76.50989532470703,76.68088393464757,75.18531972883665,75.28406170066347,162234000,,,74.95958065550592,73.76293647275462,0.028288875991805185,,67.41250290813826,0.9859765048007461,0.917795088906164,,,,0
2020-01-29,78.1114273071289,78.95674973344263,77.39856685210137,78.13792264122904,216229200,,,75.25975652708905,73.93346552508302,0.020932350980549463,,68.46515399682598,1.1146327344882678,0.9571626180225848,,,,0
2020-01-30,77.99822235107422,78.0512056603916,76.7651642610764,77.19625539826748,126743200,75.1483543395996,,75.52056279604002,74.09286775355326,-0.0014492752207634352,,63.87910959390521,1.1936988127121708,1.0044698569605022,75.1483543395996,79.17775182442647,71.11895685477275,0
2020-01-31,74.5398941040039,77.71164655303768,74.24607885109228,77.29019066933044,199588400,75.25865516662597,,75.42716577775087,74.11039819866897,-0.04433855212115212,0.01767903422766254,49.368875103935785,0.9661637282185751,0.9968086312121168,75.25865516662597,79.07901140014177,71.43829893311018,0
2020-02-03,74.335205078125,75.49842038984059,72.78424642943136,73.28517374937778,173788400,75.39388389587403,,75.32316952064365,74.11921415472608,-0.002746033226091127,0.017510808054447272,42.98753591907876,0.7605566174686658,0.9495582284634266,75.39388389587403,78.84737302907793,71.94039476267012,0
2020-02-04,76.78927612304688,76.97953543976107,75.53213292898627,75.9367288800473,136616400,75.62327651977539,,75.46279872087253,74.22392246720925,0.03301357738022914,0.018807483080026798,54.739679837324545,0.786567464567554,0.9169600756842522,75.62327651977539,78.78069674134066,72.46585629821011,0
2020-02-05,77.41542053222656,78.21257356762338,76.81334075627086,77.91393700101683,118826800,75.90095520019531,,75.64876270290624,74.34907925407268,0.008154060577109101,0.01874080128331885,57.618769555001805,0.8479314433452032,0.9031543492164424,75.90095520019531,78.61060676951332,73.1913036308773,0
2020-02-06,78.32096862792969,78.32337929968051,77.12885469909907,77.68517600247516,105425600,76.16611099243164,,75.90325850528943,74.5048396216749,0.011697257335522293,0.018615826116944317,57.52918069181984,0.9585830532317061,0.9142400900194952,76.16611099243164,78.72133428225976,73.61088770260352,0
2020-02-07,77.25636291503906,78.06989154294402,76.76631409771366,77.82124622907054,117684000,76.30048980712891,,76.03212559193224,74.61274249592448,-0.013592856824181099,0.018515375701720706,51.533781988884435,0.9494260747272278,0.9212772869610417,76.30048980712891,78.78367916463588,73.81730044962194,0
2020-02-10,77.6233139038086,77.6233139038086,75.76451086097089,75.84417079645658,109348800,76.44478721618653,,76.18366733592048,74.73080411976306,0.004749783382542505,0.018526037212542132,54.317948405265795,0.9607045770004703,0.9291627449689275,76.44478721618653,78.88047198629917,74.00910244607388,0
2020-02-11,77.15496063232422,78.19058359645562,76.93769897957516,78.11816550122239,94323200,76.48583068847657,,76.27617145938751,74.82586908103998,-0.006033667566225809,0.01802978414405544,51.98197460520037,0.9212312955633593,0.927576455087814,76.48583068847657,78.94124630383128,74.03041507312186,0
2020-02-12,78.98723602294922,78.99206144129231,77.60399117788235,77.60399117788235,113730400,76.67002639770507,,76.53436808448863,74.98905994150702,0.023747992035879184,0.01840652461167316,55.95839893925582,1.0259709917458082,0.9472553624194129,76.67002639770507,79.29854221027476,74.04151058513538,0
2020-02-13,78.4247817993164,78.75067811380296,78.05785100076243,78.26062912894116,94747600,76.84223556518555,,76.71440748590081,75.12379413200935,-0.007120824223668221,0.018472762175949314,54.89967580532059,1.0514718869636681,0.968098667328264,76.84223556518555,79.45596783598079,74.22850329439031,0
2020-02-14,78.44407653808594,78.6927218682662,77.93712767417983,78.39337649475979,80113600,76.96844673156738,,76.8791378718232,75.25400128518883,0.0002460285936007889,0.018322316997525186,62.7960433449224,1.0610078166577068,0.9866804971941526,76.96844673156738,79.6378287986335,74.29906466450126,0
2020-02-18,77.00772857666016,77.18878123005356,75.94796350927948,76.12901616267288,152531200,76.98081550598144,,76.8913846056172,75.32277490446222,-0.01831047065393665,0.01871332920071735,51.646949312366104,0.9418072653167116,0.9777058508186645,76.98081550598144,79.64842959123621,74.31320142072667,0
2020-02-19,78.12300872802734,78.35234502696264,77.24912913343354,77.24912913343354,93984000,77.07495765686035,,77.00868214108485,75.43258799558244,0.01448270416464692,0.018891469238011147,50.03958770371498,0.9266518908387695,0.9674950588226855,77.07495765686035,79.76531359722095,74.38460171649974,0
2020-02-20,77.3215560913086,78.37166303401608,76.81702354297988,77.88403050271104,100566000,77.11542015075683,,77.03847966015377,75.506665175807,-0.01025885523058745,0.019059844735190932,47.79095299959352,0.8402843427677595,0.9420529156117003,77.11542015075683,79.79446403089034,74.43637627062333,0
2020-02-21,75.57136535644531,77.35775721221363,74.95578935685651,76.91598466630131,129554000,77.04994888305664,,76.898754488372,75.50920243779282,-0.022635223905691837,0.0197246362657388,53.79003948792963,0.6234252155120288,0.8783273755917661,77.04994888305664,79.81573176551127,74.28416600060201,0
2020-02-24,71.98169708251953,73.43011814732492,69.8211400810818,71.75960997813098,222195200,76.81607284545899,,76.43046330686224,75.37086889444878,-0.04750037606168023,0.022337774692692106,43.07491854337551,0.1600614761180168,0.7346741956970163,76.81607284545899,80.39307339923815,73.23907229167983,0
2020-02-25,69.54352569580078,73.03180965186876,69.07279323243056,72.6503953158895,230673600,76.57299613952637,,75.77456448676115,75.14234563175671,-0.033872102013983385,0.022637038800918982,28.659768332827753,-0.3992948574032056,0.507880385076972,76.57299613952637,81.3118870618998,71.83410521715294,0
2020-02-26,70.64672088623047,71.90926363042658,69.16209108503992,69.1693328941365,198054800,76.27983741760254,,75.28619842956775,74.96604662212823,0.01586337735097465,0.02188754216455774,30.60965518688397,-0.7449824555704225,0.25730781694749305,76.27983741760254,81.71014379681259,70.84953103839248,0
2020-02-27,66.0286865234375,69.04140503149553,65.89350114490772,67.85852928583456,320605600,75.67570037841797,,74.40453062898392,74.61556191237565,-0.06536799309100072,0.02504485035218778,20.962575865820128,-1.375720694407761,-0.06929788532355774,75.67570037841797,82.7019792004981,68.64942155633784,0
2020-02-28,65.99006652832031,67.20915879544067,61.88862284247871,62.10347552395671,426510000,75.07529258728027,,73.60315309558739,74.27730719143231,-0.0005848972189304025,0.02505760768188111,22.030450468742657,-1.8572918988690788,-0.426896688032662,75.07529258728027,83.22789535356766,66.92268982099289,0
2020-03-02,72.1337890625,72.7686815326321,67.0425894386722,68.14338895911868,341397200,74.95498733520508,,73.46321366386478,74.19324765696439,0.09310071738665471,0.032356380771661586,39.409437913029755,-1.7233280318444315,-0.686182956795016,74.95498733520508,83.21120987829694,66.69876479211321,0
2020-03-03,69.84284973144531,73.38665070115958,68.99310485052062,73.30699080209732,319475600,74.7303695678711,,73.11841709887246,74.02264381674796,-0.03175958674609081,0.03307421935975238,36.82010819356246,-1.7814845153497885,-0.9052432685059706,74.7303695678711,83.29621986505722,66.16451927068496,0
2020-03-04,73.08250427246094,73.2418314905751,70.76261982320094,71.56166493954149,219178400,74.5450309753418,,73.1149968296904,73.98577559932494,0.04638491346605278,0.03395539336315871,39.87078177731465,-1.5483129135097187,-1.0338571975067203,74.5450309753418,83.08367211821107,66.00638983247254,0
2020-03-05,70.7119140625,72.31241302487865,70.34739243241086,71.33955724756618,187572800,74.20985565185546,,72.88613180424369,73.85738887239063,-0.03243717813942271,0.03452915058965787,37.54187149017032,-1.53709092980273,-1.1345039439659224,74.20985565185546,82.80020107474408,65.61951022896685,0
2020-03-06,69.77284240722656,70.20495666747604,67.88989834828591,68.07577636210152,226176800,73.7824493408203,,72.58962805214682,73.69721057963909,-0.013280246585369193,0.03438443874654917,36.39803806303244,-1.5856937705691792,-1.224741909286574,73.7824493408203,82.3621558422204,65.20274283942021,0
2020-03-09,64.2543716430664,67.13189718407227,63.489119320777824,63.670171942415024,286744800,73.13234977722168,,71.79579410842487,73.32690317036173,-0.07909195861552853,0.038139223449800606,32.26585223226827,-2.045922225056316,-1.3889779724405225,73.13234977722168,82.53467398685774,63.73002556758561,0
2020-03-10,68.88208770751953,69.14763308452109,65.0268727397902,66.90258302825225,285290000,72.69528846740722,,71.5182982607196,73.15259668162282,0.07202180872859709,0.042125856865832326,38.293591806927274,-2.014022185965274,-1.5139868151454727,72.69528846740722,82.03104987106798,63.35952706374648,0
